Algoritmo,TamanhoVetor,TempoMedio_ms,TrocasMedias,ComparacoesMed    ias
InsertSort,1000,1.1283,253359,253357
InsertSort,10000,28.7372,25035248,25035247
InsertSort,100000,2042.2171,2504790795,2504790793
InsertSort,500000,54516.7419,62513824278,62513824281
InsertSort,1000000,285181.8602,249967623325,249967623327
SelectionSort,1000,1.9446,999,499500
SelectionSort,10000,33.4396,9999,49995000
SelectionSort,100000,3457.8783,99999,4999950000
SelectionSort,500000,96828.7622,499999,124999750000
SelectionSort,1000000,454224.3116,999999,499999500000
MergeSort,1000,0.3045,19344,8704
MergeSort,10000,1.8295,261755,120447
MergeSort,100000,25.4952,3282824,1536534
MergeSort,500000,74.9254,18648628,8837045
MergeSort,1000000,157.4779,39296994,18674252
GnomeSort,1000,2.1082,252364,505722
GnomeSort,10000,71.2239,25025258,50060505
GnomeSort,100000,7404.5533,2504690804,5009481598
GnomeSort,500000,196871.3249,62513324293,125027148575
GnomeSort,1000000,722081.8829,249966623339,499934246667
CountingSort,1000,0.1690,2000,999
CountingSort,10000,0.8275,20000,9999
CountingSort,100000,4.2967,200000,99999
CountingSort,500000,18.4729,1000000,499999
CountingSort,1000000,30.1916,2000000,999999
CocktailSort,1000,2.3765,252364,380288
CocktailSort,10000,77.2436,25025258,37653032
CocktailSort,100000,8490.1832,2504690804,3758441217
CocktailSort,500000,210937.9630,62513324293,93748422278
CocktailSort,1000000,843352.9947,249966623339,374977060134
